,프로젝트번호,행번,역할,업무명,개발의뢰번호,의뢰자행번,최초일자,최종일자,기간
13293,P2020-08342-01,18111017,PM,폰뱅킹,R2020-08342,8100462,2020-07-08,2020-08-31,54 days 00:00:00.000000000
13294,P2020-08342-01,07111003,개발자,폰뱅킹,R2020-08342,8100462,2020-07-08,2020-08-31,54 days 00:00:00.000000000
13295,P2020-08345-02,17011004,PM,스마일,R2020-08345,18611036,2020-07-09,2020-09-04,57 days 00:00:00.000000000
13296,P2020-08345-02,20061019,개발자,스마일,R2020-08345,18611036,2020-07-09,2020-09-04,57 days 00:00:00.000000000
13297,P2020-08345-02,14011019,개발자,스마일,R2020-08345,18611036,2020-07-09,2020-09-04,57 days 00:00:00.000000000
13298,P2020-08346-01,06179207,PM,채널,R2020-08346,6179207,2020-07-07,2020-07-13,6 days 00:00:00.000000000
13299,P2020-08347-01,11071006,PM,(V)여신S,R2020-08347,11071006,2020-07-06,2020-10-15,101 days 00:00:00.000000000
13300,P2020-08347-01,18102009,개발자,(V)여신S,R2020-08347,11071006,2020-07-06,2020-10-15,101 days 00:00:00.000000000
13301,P2020-08347-01,19041006,개발자,(V)여신S,R2020-08347,11071006,2020-07-06,2020-10-15,101 days 00:00:00.000000000
13302,P2020-08347-01,18101016,개발자,(V)여신S,R2020-08347,11071006,2020-07-06,2020-10-15,101 days 00:00:00.000000000
13303,P2020-08348-01,06146066,PM,BASEL,R2020-08348,18509746,2020-07-07,2020-07-10,3 days 00:00:00.000000000
13304,P2020-08348-01,20100124,개발자,BASEL,R2020-08348,18509746,2020-07-07,2020-07-10,3 days 00:00:00.000000000
13305,P2020-08349-01,06158250,PM,무역,R2020-08349,11101441,2020-07-07,2020-07-24,17 days 00:00:00.000000000
13306,P2020-08349-01,12201499,개발자,무역,R2020-08349,11101441,2020-07-07,2020-07-24,17 days 00:00:00.000000000
13307,P2020-0835-01,15051004,PM,운영리스크(DS),R2020-0835,15051004,2020-01-30,2020-02-28,29 days 00:00:00.000000000
13308,P2020-0835-01,08051001,개발자,운영리스크(DS),R2020-0835,15051004,2020-01-30,2020-02-28,29 days 00:00:00.000000000
13309,P2020-0835-01,19061020,개발자,운영리스크(DS),R2020-0835,15051004,2020-01-30,2020-02-28,29 days 00:00:00.000000000
13310,P2020-08350-01,06165450,PM,여신,R2020-08350,11101441,2020-07-20,2020-09-17,59 days 00:00:00.000000000
13311,P2020-08350-01,06145272,개발자,여신,R2020-08350,11101441,2020-07-20,2020-09-17,59 days 00:00:00.000000000
13312,P2020-08353-01,06145272,PM,CCRM,R2020-08353,6145272,2020-07-07,2020-08-11,35 days 00:00:00.000000000
13313,P2020-08353-01,16100281,개발자,CCRM,R2020-08353,6145272,2020-07-07,2020-08-11,35 days 00:00:00.000000000
13314,P2020-08353-01,20100108,개발자,CCRM,R2020-08353,6145272,2020-07-07,2020-08-11,35 days 00:00:00.000000000
13315,P2020-08353-01,18201040,개발자,CCRM,R2020-08353,6145272,2020-07-07,2020-08-11,35 days 00:00:00.000000000
13316,P2020-08353-01,06218131,개발자,CCRM,R2020-08353,6145272,2020-07-07,2020-08-11,35 days 00:00:00.000000000
